Numero_Requerimento;Rito_Requerimento;Numero_Processo;Data_requerimento;Data_Registro;Data_Encerramento;Status_Requerimento;Valor_Mobiliario;Tipo_requerimento;Bookbuilding;CNPJ_Emissor;Nome_Emissor;CNPJ_Lider;Nome_Lider;Grupo_Coordenador;Tipo_Oferta;Emissao;Qtde_Total_Registrada;Valor_Total_Registrado;Oferta_inicial;Oferta_vasos_comunicantes;Publico_alvo;Reabertura_serie;Titulo_classificado_como_sustentavel;Titulo_padronizado;Destinacao_recursos;Data_deliberacao_aprovou_oferta;Mercado_negociacao;Tipo_lastro;Regime_fiduciario;Ativos_alvo;Descricao_garantias;Descricao_lastro;Identificacao_devedores_coobrigados;Possibilidade_revolvencia;FIDC_nao_padronizado;Titulo_incentivado;Regime_distribuicao;Tipo_societario;Administrador;Gestor;Agente_fiduciario;Escriturador;Custodiante;Avaliador_Risco;Processo_SEI;Endereco_emissor_rede_mundial_computadores;Num_Invest_Pessoa_Natural;Qtde_VM_Pessoa_Natural;Num_Invest_Clube_Investimento;Qtde_VM_Clube_Investimento;Num_Invest_Fundos_Investimento;Qtde_VM_Fundos_Investimento;Num_Invest_Entidade_Previdencia_Privada;Qtde_VM_Entidade_Previdencia_Privada;Num_Invest_Companhia_Seguradora;Qtde_VM_Companhia_Seguradora;Num_Invest_Investidor_Estrangeiro;Qtde_VM_Investidor_Estrangeiro;Num_Invest_Instit_Intermed_Partic_Consorcio_Distrib;Qtde_VM_Instit_Intermed_Partic_Consorcio_Distrib;Num_Invest_Instit_Financ_Emissora_Partic_Consorcio;Qtde_VM_Instit_Financ_Emissora_Partic_Consorcio;Num_Invest_Demais_Instit_Financ;Qtde_VM_Demais_Instit_Financ;Num_Invest_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Qtde_VM_Demais_Pessoa_Juridica_Emissora_Partic_Consorcio;Num_Invest_Demais_Pessoa_Juridica;Qtde_VM_Demais_Pessoa_Juridica;Num_Invest_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio;Qdte_VM_Soc_Adm_Emp_Prop_Demais_Pess_Jurid_Emiss_Partic_Consorcio
1610;Automático;SRE/0882/2023;2023-05-12;2023-06-21;2023-06-26;Oferta Encerrada;Debêntures;OPD Aut Público em Geral ou Qualificado - com bookbuilding;S;42.353.180/0001-35;IGUÁ RIO DE JANEIRO S.A.;02.332.886/0001-04;XP INVESTIMENTOS CCTVM S.A.;;PRIMARIA;4;3800000;3800000000.0;;;Qualificado;N;S;N;Conforme Escritura de Emissão, nos termos do art. 2°, § 1°, da Lei 12.431, do Decreto 8.874, e da Resolução CMN 5.034, os recursos líquidos captados pela Emissora por meio das Debêntures serão utilizados exclusivamente para o pagamento futuro e/ou reembolso de gastos, despesas, outorgas e/ou dívidas relacionados à implantação do Projeto de Investimento, desde que o pagamento dos referidos gastos, despesas e/ou dívidas passíveis de reembolso tenham ocorrido em prazo igual ou inferior a 24 (vinte e quatro) meses da data de encerramento da Oferta.;08/05/2023;B3 S.A. - Brasil, Bolsa, Balcão - Balcão B3;;;;;;;;;S;Misto;;;;Vórtx Distribuidora de Títulos e Valores Mobiliários Ltda.;Vórtx Distribuidora de Títulos e Valores Mobiliários Ltda.;;Standard & Poor's Ratings do Brasil Ltda.;;https://ri.igua.com.br/;16308;1182798;0;0;138;472534;0;0;0;0;0;0;0;0;2;289701;1;1800000;0;0;313;54966;1;1
1627;Automático;SRE/0866/2023;2023-05-12;2023-05-12;2023-05-12;Oferta Encerrada;Debêntures;OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado;N;49.437.481/0001-96;MARAPÉ HOLDING E PARTICIPAÇÕES S.A;13.673.855/0001-25;FRAM CAPITAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.;;PRIMARIA;1;27881;27881000.0;;;Profissional;;N;;"(i) pré-pagamento de dívida (ii) ealização de investimentos futuros necessários para a construção, a montagem e a manutenção das instalações de transmissão de energia elétrica, compostas pela Linha de Transmissão Mesquita - Timóteo 2, circuito simples, em 230 kV, com extensão aproximada de 24 km e pela Subestação Timóteo 2, em 230 kV, nos termos do  ""Contrato de Concessão nº 02/2012 - ANEEL"", firmado entre a ETTM e a União Federal por intermédio da Agência Nacional de Energia Elétrica (""ANEEL"").";27/04/2023;CETIP21;;;;;;;;;S;Melhores Esforços;SA capital fechado;;;VORTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;FRAM CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;;www.marape-holding,com;0;0;0;0;1;27881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1836;Automático;SRE/1046/2023;2023-06-01;2023-06-06;2023-06-12;Oferta Encerrada;Debêntures;OPD Aut Qualificado - com bookbuilding  - Emissor Não Registrado;S;15.186.494/0001-18;São Gabriel Saneamento S.A.;06.271.464/0001-19;BANCO BRADESCO BBI S.A.;;PRIMARIA;1;70000;70000000.0;;;Qualificado;;S;;Os recursos obtidos pela Emissora com as Debêntures serão integral, única e exclusivamente, destinados ao Projeto (conforme definido abaixo), considerado prioritário nos termos do artigo 2º da Lei 12.431, do Decreto 8.874, da Portaria do MDR n.º 3.243, de 09 de novembro de 2022.;09/05/2023;CETIP21 - Títulos e Valores Mobiliários;;;;;;;;;S;Garantia Firme de Colocação;SA capital fechado;;;Pentágono S.A. Distribuidora de Títulos e Valores Mobiliários;Banco Bradesco S.A.;;;;;0;0;0;0;3;70000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1863;Automático;SRE/1070/2023;2023-06-06;2023-06-06;2023-06-14;Oferta Encerrada;Debêntures;OPD Aut Profissional - sem bookbuilding - Emissor Não Registrado;N;35.637.796/0001-72;LINS AGROINDUSTRIAL S.A.;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;PRIMARIA;1;150000;150000000.0;;;Profissional;;N;;Nos termos do artigo 2º, parágrafo 1º, da Lei 12.431 e do Decreto 8.874, os recursos líquidos captados pela Emissora por meio da Emissão das Debêntures serão utilizados exclusivamente para o pagamento futuro e/ou reembolso de gastos, despesas ou dívidas relacionadas ao Projeto, que tenham ocorrido em prazo igual ou inferior 24 (vinte e quatro) meses contados da data de encerramento da Oferta ou para o pagamento futuro de despesas ou dívidas do capex de distribuição, conforme o caso;19/05/2023;B3;;;;;;;;;S;Garantia Firme de Colocação;SA capital fechado;;;Vórtx Distribuidora de Títulos e Valores Mobiliários Ltda.;VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;N.A.;;https://usinalins.com.br/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;150000;0;0;0;0;0;0;0;0
1990;Automático;SRE/1173/2023;2023-06-19;2023-07-14;2023-07-19;Oferta Encerrada;Debêntures;OPD Aut Público em Geral ou Qualificado - com bookbuilding - EGEM ou EFRF;S;33.042.730/0001-04;CIA SIDERURGICA NACIONAL;30.306.294/0001-45;BANCO BTG PACTUAL S/A;;PRIMARIA;14;700000;700000000.0;;S;Público Geral;;N;N;os recursos líquidos captados pela Emissora por meio das Debêntures serão utilizados exclusivamente para o pagamento futuro e/ou reembolso de gastos, despesas, outorgas e/ou dívidas relacionados à implantação do Projeto de Investimento;16/06/2023;cetip21;;;;;;;;;S;Garantia Firme de Colocação;;;;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;;;9058;619190;0;0;25;71240;0;0;0;0;0;0;0;0;0;0;13;1717;0;0;40;7853;0;0
2047;Automático;SRE/1213/2023;2023-06-22;2023-06-28;2023-06-29;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding - EGEM ou EFRF;S;16.404.287/0001-55;SUZANO S.A.;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;PRIMARIA;9;1000000;1000000000.0;;;Profissional;N;N;N;Os recursos líquidos captados pela Emissora por meio da integralização das Debêntures serão destinados nos termos do artigo 2º, parágrafo 1º, da Lei 12.431, e do Decreto 8.874 ao custeio das despesas já incorridas e/ou a incorrer relativas ao projeto, sendo certo que referidos recursos serão integralmente alocados no pagamento futuro ou no reembolso de gastos, despesas ou dívidas relacionados ao Projeto que ocorreram em prazo igual ou inferior a 24 (vinte e quatro) meses contados da data de divulgação do Anúncio de Encerramento;15/06/2023;"Negociação no mercado secundário por meio do CETIP21 - Títulos e Valores Mobiliários (""CETIP21""), administrado e operacionalizado pela B3, sendo as negociações liquidadas financeiramente e as Debêntures custodiadas eletronicamente na B3";;;;;;;;;S;Garantia Firme de Colocação;;;;VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;;Fitch Ratings Brasil Ltda.;;https://ri.suzano.com.br/Portuguese/home/default.aspx;558;400760;0;0;17;54300;0;0;0;0;0;0;1;208000;1;336940;0;0;0;0;0;0;0;0
2115;Automático;SRE/1285/2023;2023-06-28;2023-08-07;2023-08-09;Oferta Encerrada;Debêntures;OPD Aut Público em Geral ou Qualificado - com bookbuilding;S;42.310.775/0001-03;ÁGUAS DO RIO 1 SPE S.A.;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;PRIMARIA;2;349209000;3492090000.0;;;Qualificado;N;S;N;Nos termos do artigo 2º, da Lei nº 12.431, de 24 de junho de 2011, do Decreto nº  8.874, da Resolução CMN 4.751 e da Resolução CMN 5.034, os recursos líquidos captados pela SPE 1 por meio da emissão da SPE 1 serão utilizados para o pagamento futuro ou reembolso de gastos, despesas ou dívidas relacionadas aos investimentos para a ampliação e melhorias no sistema de abastecimento de água, bem como para a implantação, ampliação e melhorias do sistema de esgotamento sanitário nos municípios atendidos SPE 1.;23/06/2023;CETIP21 - Títulos e Valores Mobiliários, administrado e operacionalizado pela B3;;;;;;;;;S;Garantia Firme de Colocação;;;;Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.;Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.;;Standard & Poor's Global Ratings;;https://ri.aegea.com.br/debentures-companhias-abertas/aguas-do-rio/;20744;122384735;0;0;403;74159631;0;0;0;0;0;0;3;55875015;3;89953164;2;3412458;0;0;328;3412458;4;73
2116;Automático;SRE/1284/2023;2023-06-28;2023-08-07;2023-08-09;Oferta Encerrada;Debêntures;OPD Aut Público em Geral ou Qualificado - com bookbuilding;S;42.644.220/0001-06;ÁGUAS DO RIO 4 SPE S.A.;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;PRIMARIA;2;205091000;2050910000.0;;;Qualificado;N;S;N;Nos termos do artigo 2º, da Lei nº 12.431, de 24 de junho de 2011, do Decreto nº  8.874, da Resolução CMN 4.751 e da Resolução CMN 5.034, os recursos líquidos captados pela SPE 1 por meio da emissão da SPE 1 serão utilizados para o pagamento futuro ou reembolso de gastos, despesas ou dívidas relacionadas aos investimentos para a ampliação e melhorias no sistema de abastecimento de água, bem como para a implantação, ampliação e melhorias do sistema de esgotamento sanitário nos municípios atendidos pela Emissora.;23/06/2023;CETIP21 - Títulos e Valores Mobiliários, administrado e operacionalizado pela B3;;;;;;;;;S;Garantia Firme de Colocação;;;;Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.;Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.;;Standard and Poor's Global Ratings;;https://ri.aegea.com.br/debentures-companhias-abertas/aguas-do-rio/;20577;71875476;0;0;407;43554069;0;0;0;0;0;0;3;32815485;3;52829636;2;2010876;0;0;328;2004142;8;1316
2125;Automático;SRE/1294/2023;2023-06-28;2023-06-28;2023-07-07;Oferta Encerrada;Debêntures;OPD Aut Profissional - sem bookbuilding;N;07.280.328/0001-58;Ipiranga Agroindustrial S.A.;17.298.092/0001-30;BANCO ITAU BBA  S.A.;;PRIMARIA;4;200000;200000000.0;;;Profissional;N;N;N;Nos termos do artigo 2°, parágrafo 1°, da Lei 12.431, bem como do Decreto 8.874, da Portaria 252, e da Portaria, os recursos captados pela Emissora por meio da Emissão serão utilizados exclusivamente para pagamento de gastos, despesas ou dívidas relacionadas à implantação do Projeto, conforme descrito na Escritura de Emissão.;21/06/2023;Primário;;;;;;;;;S;Garantia Firme de Colocação;;;;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A;OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.;;;;https://www.ipirangaagroindustrial.com.br/;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;200000;0;0;0;0;0;0;0;0
2174;Automático;SRE/1352/2023;2023-07-04;2023-07-20;2023-07-24;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding;S;08.324.196/0001-81;CIA ENERGÉTICA DO RIO GRANDE DO NORTE;01.522.368/0001-82;BANCO BNP PARIBAS BRASIL S/A;COORDENADOR PLENO;PRIMARIA;11;500000;500000000.0;;;Profissional;N;S;N;A totalidade dos recursos líquidos captados pela Emissora serão utilizados n para pagamento futuro ou reembolso de gastos, despesas ou dívidas do capex de distribuição.;28/06/2023;CETIP 21 - Títulos e Valores Mobiliários;;;;;;;;;S;Garantia Firme de Colocação;;;;Pentágono S.A. Distribuidora de Títulos e Valores Mobiliários;Banco Bradesco S.A.;;Standard & Poor's;;;82;30000;0;0;8;20000;0;0;0;0;1;450000;0;0;0;0;0;0;0;0;0;0;0;0
2402;Automático;SRE/1576/2023;2023-08-01;2023-08-14;2023-08-21;Oferta Encerrada;Debêntures;OPD Aut Profissional - com bookbuilding;S;15.139.629/0001-94;CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA;90.400.888/0001-42;BANCO SANTANDER (BRASIL) S.A.;COORDENADOR PLENO;PRIMARIA;16;1200000;1200000000.0;;S;Profissional;N;S;S;"Os recursos líquidos captados pela Emissora por meio das Debêntures da Primeira Série serão utilizados para pagamento futuro ou reembolso de despesas do Plano da Distribuição (""PDD"") dos anos de 2023 e 2024.Nos termos do artigo 2°, parágrafo 1°, da Lei 12.431, do Decreto 8.874, e da Resolução do Conselho Monetário Nacional nº 5.034, de 21 de julho de 2022 e da Portaria, a totalidade dos recursos líquidos captados pela Emissora por meio das Debêntures da Segunda Série serão utilizados exclusivamente para pagamento futuro e reembolso relacionado aos investimentos da portaria numero 1516/SPE/MME";26/07/2023;B3;;;;;;;;;S;Garantia Firme de Colocação;;;;PENTÁGONO S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS;BANCO BRADESCO S.A.;;Standard & Poor's;;https://servicos.neoenergiacoelba.com.br/Pages/index.aspx;257;110000;0;0;187;543884;0;0;2;1646;0;0;2;540000;0;0;0;0;0;0;1;4470;0;0
